nearest_distance,type
1304.8700105497578,library
1172.3648405169151,library
701.9408135047138,library
803.3130541510511,library
1169.4135914514472,library
779.4557288534103,library
869.8996566116384,library
956.6341518745154,library
1252.4050772892372,library
1178.9527772492127,library
583.1057152868121,library
1011.0564841303774,library
969.0523281886054,library
1107.1525824613352,library
922.3560448918769,library
673.7500884187067,library
1005.9827845525107,library
818.3220705961386,library
1069.4223408265975,library
1949.9113941569701,library
1498.0044286595983,library
1194.3526064932764,library
864.0692593197678,library
782.2198623595776,library
1250.7326570572045,library
1091.3572554465259,library
1271.1184338696826,library
1297.9485595565566,library
1001.4542412124202,library
1263.9225502717766,library
1194.3526064932764,library
1078.889443791702,library
1078.889443791702,library
894.3656173776166,library
1183.188831757036,library
1195.3533319293572,library
1130.283895950051,library
2054.1490806799325,library
958.9283162804343,library
1118.5684789106517,library
1366.4453172671335,library
1321.8074435262345,library
2326.503602669202,library
1503.9220663656185,library
1270.2245864001618,library
866.4763628688626,library
1107.8271362464886,library
1328.6323292774068,library
1110.7824958294773,library
1636.764150236383,library
1376.4045867898794,library
805.0640118730369,library
1108.1913774559591,library
1503.8576707192296,library
816.5383075730567,library
1699.2328760597513,library
959.7261570899593,library
1457.1437374589943,library
2104.3731117862953,library
678.9707778429184,library
744.6344394061978,library
1058.0590160433842,library
951.7146020581262,library
959.4165753890456,library
765.158030988715,library
1173.0936904360835,library
866.8105804132874,library
1323.0703879068783,library
1176.847832374326,library
953.1021725218299,library
1147.5244172792702,library
707.9036284117883,library
725.2814025969916,library
595.0320510804369,library
809.7521751444638,library
830.5364974920257,library
782.2198623595776,library
1382.4389613316996,library
1093.042056143445,library
1271.1184338696826,library
1586.5896213462947,library
1010.7591095390413,library
1632.6775064198252,library
953.1021725218299,library
2074.803458428797,library
2053.9616935889185,library
1195.1575245932531,library
1597.5254570730974,library
1195.1575245932531,library
4219.127344751416,library
1508.3483575033174,library
2074.803458428797,library
1410.1662553599367,library
1086.9010521953692,library
1145.8613225571135,library
1223.1910259809144,library
1693.7863349890195,library
1320.132506738987,library
1410.1662553599367,library
1127.2773463522617,library
2195.551910216725,library
2017.570968313814,library
1154.6388893200221,library
1954.1131788037496,library
2068.9726518542275,library
664.9175392075406,library
750.0417016796924,library
747.9748213399661,library
797.1789462574612,library
750.0417016796924,library
926.9900328218517,library
556.2556019041302,library
710.0500594497772,library
705.4185780030612,library
707.1661661646383,library
