nearest_distance,type
3338.3995254723627,library
3950.1361962529195,library
2368.9701033803644,library
1495.8224434717465,library
692.1042769034989,library
2850.3324350819466,library
2901.6800946717476,library
379.4453925250815,library
588.841424313046,library
530.3928230221654,library
921.8873033047133,library
2574.1721951408854,library
692.1042769034989,library
700.355364404572,library
794.3587345682716,library
596.7657362410972,library
2901.6800946717476,library
1109.590879236,library
478.3453935136452,library
712.2234681188586,library
588.841424313046,library
3338.3995254723627,library
2348.3867880622743,library
5928.141400443597,library
4994.628400257383,library
3501.458239384186,library
2129.8872261474485,library
14505.39921573929,library
2954.0875889031727,library
3419.7907310138444,library
4742.724447808505,library
3094.990011802401,library
2969.423532314925,library
3601.1737060783344,library
217.51157240161376,theater
204.28894766481847,theater
82.39866918467652,theater
29.70148332191614,theater
173.55282289196637,theater
13670.720344833462,theater
165.22549973576042,theater
17163.98912020145,theater
4020.0358729501713,theater
56.45754420373597,theater
9293.193814673692,theater
789.4849469841727,theater
215.55967786982652,theater
57.04703787756711,theater
32.226805561449595,theater
25.123215700735845,theater
587.971690276812,theater
165.22549973576042,theater
9864.22108497444,theater
15084.372031190018,theater
10103.389992038261,theater
368.33351424378577,theater
163.0808773004967,theater
37.49827363817434,theater
28.594460893109183,theater
468.87754767160834,theater
37.49827363817434,theater
29.70148332191614,theater
347.5424820338774,theater
350.62612354710694,gym
156.2468961131492,gym
297.19429340800326,gym
419.19176105669357,gym
492.3720448880837,gym
499.8034555957638,gym
385.6401114165663,gym
632.7680838224624,gym
349.07506048119967,gym
535.7303682212739,gym
265.844224855164,gym
160.86108476544177,gym
296.4266670857952,gym
246.01150334173036,gym
366.4680953036962,gym
271.8848065260689,gym
423.70797279080233,gym
672.7915582990634,gym
354.3917488226589,gym
797.5409219112845,gym
470.56019434208355,gym
211.03070192350165,gym
465.1849709060544,gym
542.9646411627938,gym
336.46039980090126,gym
505.84249718784844,gym
404.37540584532724,gym
303.26542019308465,gym
320.5877542790063,gym
349.07506048119967,gym
529.3568017219344,gym
492.9972320614266,gym
468.7811331872014,gym
498.52687923735755,gym
496.34229812842403,gym
133.39207784076604,gym
5671.758229376083,gym
316.38888820944345,gym
555.8334720733678,gym
296.4266670857952,gym
225.23638941261154,gym
290.4456667317878,gym
380.02358196611016,gym
346.9398929625536,gym
391.935703126143,gym
114.27373331318519,gym
195.47751623665508,gym
612.0789048562359,gym
535.7303682212739,gym
508.6214916705734,gym
266.4204409317448,gym
689.4810336586332,gym
294.3679761174134,gym
2278.1006262527926,gym
556.0987057496033,gym
300.70817975639636,gym
248.76718028791413,gym
643.0436344401284,gym
250.32557884774513,gym
250.32557884774513,gym
363.84253750166647,gym
195.47751623665508,gym
175.91030892327643,gym
350.7743514457489,gym
290.5230690140207,gym
492.9972320614266,gym
6799.433894718957,gym
243.8438523143333,gym
238.74410767616945,gym
368.41635153219113,gym
250.32557884774513,gym
286.7552308928331,gym
566.1627492749977,gym
437.3340163817856,gym
582.6883085018486,gym
427.278969587778,gym
426.62677010218715,gym
498.52687923735755,gym
451.30227471838305,gym
114.27373331318519,gym
254.24476138887053,gym
290.4456667317878,gym
194.24507822463465,gym
370.8117198582746,gym
301.06694432535306,gym
490.8755416514932,gym
402.20406883553454,gym
265.844224855164,gym
570.8736133732732,gym
262.01965012836,gym
501.06518086333057,gym
195.47751623665508,gym
426.2817005388353,gym
421.0133117281591,gym
680.1659276696021,gym
517.0071432765067,gym
3434.89585796394,gym
1022.502544251981,gym
426.62677010218715,gym
348.5853003202782,gym
458.86748555632835,gym
504.53357641164683,gym
526.0503134919555,gym
114.27373331318519,gym
1075.9166624180125,gym
757.6718974206474,gym
586.5481715591003,gym
351.0990426449966,gym
409.9075468667632,gym
364.0127443098339,gym
1278.5852515899933,gym
597.4859184105923,gym
1173.14761382388,gym
917.4477563140588,gym
419.6931302604803,gym
404.279755909123,gym
